Testing SD card write operations: 2022-05-30 08:04:00
2022-05-30 08:04:49: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '024179e266d40717c02a2d252201c66b4de0c1a7259104a97a630d11625173d4', 'rssi': -50, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:50: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '7cae8e1c71d1198602fd4a251813807ac90e36de455f9037558c72a01fefe9cf', 'rssi': -80, 'name': 'Tb25\x00', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -13, 'adv_tx_pwr': 3}
2022-05-30 08:04:51: {'adv_flag': 6, 'def_tx_pwr': 3, 'mac': '5b91684d70a0fecf0a5179858c78b5dd18f62d060352bfaf42befae416737349', 'rssi': -92, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '1ce83efe86853fc3e03a1fdd84258bd49fd625a1e2dda8b75885c76796ef7880', 'rssi': -89, 'name': 'Tb21', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': -14, 'adv_tx_pwr': 3}
2022-05-30 08:04:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '08fdc7398520e5b6992908fdf50d36c7229041061d5798c5d84e5442867349b5', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:54: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c5bdbd2ae7712f8f16fd01e57cbeba6244e198cd59efef99fb480c8955d3ef5d', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'ab98cbead71b86a5332b7f10f1d004798752f40a1a63b7db040244e7591b115f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:04:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd8a93077ebc50b2394f6ba73fc2d0c399f73abee7da05e7074158ca364c373a1', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-05-30 08:04:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '949b1f11977fbc0d3ac4e8856ef8770640f8df7420ac7742a7ccc1712f119d07', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-05-30 08:04:59: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'c893b0c6996bedebf33bf66be4a0bac71017900a4adf81419679f45509881168', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-05-30 08:05:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '695868b18305b428e44cc47aa202cf32ef36c454efac6e7c57207f0f6894e162', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
