Testing SD card write operations: 2022-06-26 11:46:23
2022-06-26 11:49:31: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:34: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:49:36: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:49:38: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:49:40: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:49:42: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-26 11:49:44: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-30}
2022-06-26 11:49:46: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:49:47: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:49:47: {'ssid':'Gitanes', 'bssid':b'\xbe\xe1C~\xe91', 'sec':3, 'channel':1, 'rssi':-56}
2022-06-26 11:49:49: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:49:51: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-26 11:49:53: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-17}
2022-06-26 11:49:55: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-27}
2022-06-26 11:49:57: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-26 11:49:59: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-26 11:50:00: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-26 11:50:02: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-25}
2022-06-26 11:50:04: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-29}
2022-06-26 11:50:10: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-31}
2022-06-26 11:50:11: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-26 11:50:13: {'ssid':'iPhone', 'bssid':b'\x02?\xa1\xf7\xb2\xc1', 'sec':3, 'channel':6, 'rssi':-32}
