Testing SD card write operations: 2022-05-20 21:03:46
2022-05-20 21:11:59: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-90}
2022-05-20 21:12:03: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-83}
2022-05-20 21:12:03: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-83}
2022-05-20 21:12:03: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-84}
2022-05-20 21:12:05: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-85}
2022-05-20 21:12:05: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-86}
2022-05-20 21:12:05: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-86}
2022-05-20 21:12:07: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-91}
2022-05-20 21:12:08: {'ssid':'M14', 'bssid':'ac4d7b7a20dd212f77d6633822a41c707faef2c49f72f6e566a959f8', 'sec':0, 'channel':11, 'rssi':-86}
2022-05-20 21:12:08: {'ssid':'M13', 'bssid':'8c84705e9d33d95f26884b67aa96b9c0a7b68829e3748f8a14c2ef01', 'sec':4, 'channel':11, 'rssi':-87}
2022-05-20 21:12:08: {'ssid':'M15', 'bssid':'8967f8a0de8a010e9479841f980d6daea152e90c1a8eb6d5384b14c9', 'sec':5, 'channel':11, 'rssi':-88}
