Testing SD card write operations: 2022-03-30 09:54:20
2022-03-30 09:55:27: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:29: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'f43b98f79489', 'rssi': -68, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:30: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -76, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:31: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:32: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'da25250b2791', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:33: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'7cb4248caf81', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:34: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:35: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'5f9baf0e0814', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e79f5b8d26d6', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:36: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'4984413b264c', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:37: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:38: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': b'73e78951027f', 'rssi': -89, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-03-30 09:55:39: {'adv_flag': 5, 'def_tx_pwr': 3, 'mac': b'ef634c1cb3a0', 'rssi': -72, 'name': 'Move 62', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 0, 'adv_tx_pwr': 3}
2022-03-30 09:55:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'e79f5b8d26d6', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-03-30 09:55:40: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': b'6ee1a952adce', 'rssi': -90, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
