Testing SD card write operations: 2023-01-27 10:44:18
2023-01-27 10:49:32: {'Acceleration': '(-0.03393555, 0.04418945, 1.011108)', 'Roll': '1.92228', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.44907'}
2023-01-27 10:49:32: {'Acceleration': '(-0.03186035, 0.04382324, 1.011475)', 'Roll': '1.804158', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.479622'}
2023-01-27 10:49:33: {'Acceleration': '(-0.0291748, 0.04406738, 1.010376)', 'Roll': '1.653967', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '-2.496324'}
2023-01-27 10:49:34: {'Acceleration': '(-0.03100586, 0.04431152, 1.008057)', 'Roll': '1.754819', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '-2.495008'}
2023-01-27 10:49:35: {'Acceleration': '(-0.03137207, 0.04309082, 1.012695)', 'Roll': '1.774386', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.498462'}
2023-01-27 10:49:36: {'Acceleration': '(-0.0300293, 0.04406738, 1.015869)', 'Roll': '1.693182', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.56171'}
2023-01-27 10:49:37: {'Acceleration': '(-0.03161621, 0.04431152, 1.015747)', 'Roll': '1.782817', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.496712'}
2023-01-27 10:49:38: {'Acceleration': '(-0.03527832, 0.04382324, 1.007935)', 'Roll': '2.004569', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.488031'}
2023-01-27 10:49:38: {'Acceleration': '(-0.03076172, 0.04467773, 1.013672)', 'Roll': '1.612957', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.56214'}
2023-01-27 10:49:39: {'Acceleration': '(-0.03198242, 0.04467773, 1.01416)', 'Roll': '1.806273', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.539018'}
2023-01-27 10:49:40: {'Acceleration': '(-0.0333252, 0.04370117, 1.016235)', 'Roll': '1.878215', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '-2.461052'}
