Testing SD card write operations: 1970-01-01 02:00:10
2022-06-30 14:00:16: {'Acceleration': '(-0.1594238, -0.1628418, 0.987793)', 'Roll': '9.168135', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.545655'}
2022-06-30 14:00:17: {'Acceleration': '(-0.1600342, -0.1657715, 0.9891357)', 'Roll': '9.190356', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.233525'}
2022-06-30 14:00:18: {'Acceleration': '(-0.1678467, -0.1657715, 0.9919434)', 'Roll': '9.604044', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.096947'}
2022-06-30 14:00:19: {'Acceleration': '(-0.1549072, -0.1697998, 0.9782715)', 'Roll': '8.828529', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.384166'}
2022-06-30 14:00:20: {'Acceleration': '(-0.1567383, -0.1605225, 0.989502)', 'Roll': '8.980248', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.497873'}
2022-06-30 14:00:20: {'Acceleration': '(-0.1740723, -0.1824951, 0.980957)', 'Roll': '10.06247', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '10.38014'}
2022-06-30 14:00:21: {'Acceleration': '(-0.1583252, -0.1654053, 0.977417)', 'Roll': '9.201038', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '9.483665'}
2022-06-30 14:00:22: {'Acceleration': '(-0.1618652, -0.166748, 0.9822998)', 'Roll': '9.35722', 'battery_voltage': 4.516094, 'battery_percentage': 84.94266, 'Pitch': '9.508434'}
2022-06-30 14:00:23: {'Acceleration': '(-0.161377, -0.1663818, 0.9837646)', 'Roll': '9.315843', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.382751'}
2022-06-30 14:00:24: {'Acceleration': '(-0.1564941, -0.1645508, 0.9869385)', 'Roll': '9.063026', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.554506'}
2022-06-30 14:00:25: {'Acceleration': '(-0.1622314, -0.1697998, 0.9847412)', 'Roll': '9.355175', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '8.971258'}
2022-06-30 14:00:26: {'Acceleration': '(-0.161377, -0.1668701, 0.9829102)', 'Roll': '9.330727', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.510177'}
2022-06-30 14:00:26: {'Acceleration': '(-0.161377, -0.1669922, 0.9829102)', 'Roll': '9.323798', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.517193'}
2022-06-30 14:00:27: {'Acceleration': '(-0.1589355, -0.1668701, 0.9781494)', 'Roll': '9.229102', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.558331'}
2022-06-30 14:00:28: {'Acceleration': '(-0.2270508, -0.1954346, 1.454102)', 'Roll': '8.874789', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '12.304'}
2022-06-30 14:00:29: {'Acceleration': '(-0.1617432, -0.1640625, 0.9908447)', 'Roll': '9.271057', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.206602'}
2022-06-30 14:00:30: {'Acceleration': '(-0.1618652, -0.1625977, 0.9869385)', 'Roll': '9.314013', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.392196'}
2022-06-30 14:00:31: {'Acceleration': '(-0.1625977, -0.1672363, 0.9868164)', 'Roll': '9.097736', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.366967'}
2022-06-30 14:00:32: {'Acceleration': '(-0.1710205, -0.1696777, 1.008301)', 'Roll': '9.62647', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.420207'}
2022-06-30 14:00:32: {'Acceleration': '(-0.1595459, -0.1594238, 0.9853516)', 'Roll': '9.052069', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.07792'}
2022-06-30 14:00:33: {'Acceleration': '(-0.1628418, -0.1663818, 0.9869385)', 'Roll': '9.369212', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.308638'}
2022-06-30 14:00:34: {'Acceleration': '(-0.1608887, -0.1645508, 0.9880371)', 'Roll': '9.248678', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.580199'}
2022-06-30 14:00:35: {'Acceleration': '(-0.159668, -0.1669922, 0.9871826)', 'Roll': '9.187516', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.386464'}
2022-06-30 14:00:36: {'Acceleration': '(-0.1625977, -0.1641846, 0.9837646)', 'Roll': '9.38506', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.350432'}
2022-06-30 14:00:37: {'Acceleration': '(-0.1605225, -0.1635742, 0.9882813)', 'Roll': '9.225749', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.278601'}
2022-06-30 14:00:38: {'Acceleration': '(-0.1645508, -0.1654053, 0.9866943)', 'Roll': '9.468068', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.389025'}
2022-06-30 14:00:38: {'Acceleration': '(-0.1582031, -0.1634521, 0.9854736)', 'Roll': '9.260071', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.359345'}
2022-06-30 14:00:39: {'Acceleration': '(-0.1588135, -0.1677246, 0.9943848)', 'Roll': '9.185693', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.287606'}
2022-06-30 14:00:40: {'Acceleration': '(-0.1610107, -0.166748, 0.9884033)', 'Roll': '9.252204', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.507474'}
2022-06-30 14:00:41: {'Acceleration': '(-0.1635742, -0.1643066, 0.986084)', 'Roll': '9.41861', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.334751'}
2022-06-30 14:00:42: {'Acceleration': '(-0.1599121, -0.1671143, 0.9838867)', 'Roll': '9.231617', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.355923'}
2022-06-30 14:00:43: {'Acceleration': '(-0.1568604, -0.1624756, 0.9864502)', 'Roll': '9.182635', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.421583'}
2022-06-30 14:00:44: {'Acceleration': '(-0.161377, -0.1641846, 0.9862061)', 'Roll': '9.165908', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '9.268781'}
2022-06-30 14:00:44: {'Acceleration': '(-0.1627197, -0.1629639, 0.987793)', 'Roll': '9.282161', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.353079'}
2022-06-30 14:00:45: {'Acceleration': '(-0.1618652, -0.166748, 0.9873047)', 'Roll': '9.310618', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.388373'}
2022-06-30 14:00:46: {'Acceleration': '(-0.1612549, -0.1624756, 0.9910889)', 'Roll': '9.241316', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.355543'}
2022-06-30 14:00:47: {'Acceleration': '(-0.1591797, -0.164917, 0.986084)', 'Roll': '9.169928', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.486385'}
2022-06-30 14:00:48: {'Acceleration': '(-0.1601563, -0.1630859, 0.9880371)', 'Roll': '9.028254', 'battery_voltage': 4.531147, 'battery_percentage': 86.44797, 'Pitch': '9.628815'}
2022-06-30 14:00:49: {'Acceleration': '(-0.1617432, -0.1652832, 0.9893799)', 'Roll': '9.33206', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.392047'}
2022-06-30 14:00:50: {'Acceleration': '(-0.1621094, -0.1643066, 0.9838867)', 'Roll': '9.414858', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.571223'}
2022-06-30 14:00:51: {'Acceleration': '(-0.163208, -0.1647949, 0.9801025)', 'Roll': '9.454221', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.417161'}
2022-06-30 14:00:51: {'Acceleration': '(-0.1618652, -0.1645508, 0.987915)', 'Roll': '9.304967', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.334352'}
2022-06-30 14:00:52: {'Acceleration': '(-0.1645508, -0.1645508, 0.9885254)', 'Roll': '9.450848', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.324839'}
2022-06-30 14:00:53: {'Acceleration': '(-0.1634521, -0.1650391, 0.986084)', 'Roll': '9.411706', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.340147'}
2022-06-30 14:00:54: {'Acceleration': '(-0.1608887, -0.163208, 0.9844971)', 'Roll': '9.281357', 'battery_voltage': 4.521111, 'battery_percentage': 85.44443, 'Pitch': '9.441531'}
2022-06-30 14:00:55: {'Acceleration': '(-0.1606445, -0.1663818, 0.9866943)', 'Roll': '9.247236', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.292185'}
2022-06-30 14:00:56: {'Acceleration': '(-0.161377, -0.1627197, 0.9973145)', 'Roll': '9.252944', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.431217'}
2022-06-30 14:00:57: {'Acceleration': '(-0.1585693, -0.1672363, 0.9871826)', 'Roll': '9.294957', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.367816'}
2022-06-30 14:00:57: {'Acceleration': '(-0.1695557, -0.173584, 0.965332)', 'Roll': '9.180114', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.850892'}
2022-06-30 14:00:58: {'Acceleration': '(-0.1623535, -0.164917, 0.9890137)', 'Roll': '9.322358', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.344095'}
2022-06-30 14:00:59: {'Acceleration': '(-0.1616211, -0.1658936, 0.9865723)', 'Roll': '9.303601', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.421781'}
2022-06-30 14:01:00: {'Acceleration': '(-0.1612549, -0.1650391, 0.9824219)', 'Roll': '9.207314', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.348214'}
2022-06-30 14:01:01: {'Acceleration': '(-0.1604004, -0.1636963, 0.9871826)', 'Roll': '9.237583', 'battery_voltage': 4.526129, 'battery_percentage': 85.94621, 'Pitch': '9.386146'}
