Testing SD card write operations: 2022-07-01 13:42:00
2022-07-01 13:42:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:56: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -61, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:57: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -62, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:58: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -77, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:42:59: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -47, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c394e21992a945554c8b4c9b0eb4f71b9c86bdde6ec1c0d29d085f5ba5f00c7', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:00: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f2d2bfe9666aaed7678f208c23ef0ebfd9957bec84cf0e4f6df32a0b338c28e0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-01 13:43:01: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4afa68a954adc1d8b4cea6886633bd9cb36aef9000a897974cbda68cf1184754', 'rssi': -57, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:02: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f2d2bfe9666aaed7678f208c23ef0ebfd9957bec84cf0e4f6df32a0b338c28e0', 'rssi': -86, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-01 13:43:03: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f286cab7b47bc8c5189c583f39a703b45c10e798beb56f4735b6a1a886dd0c13', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f286cab7b47bc8c5189c583f39a703b45c10e798beb56f4735b6a1a886dd0c13', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:04: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'f286cab7b47bc8c5189c583f39a703b45c10e798beb56f4735b6a1a886dd0c13', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:05: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8c394e21992a945554c8b4c9b0eb4f71b9c86bdde6ec1c0d29d085f5ba5f00c7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:06: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd43c6748049e594620f17dd60dfa2c217e3a8ff4cd1c125b8160e489e20717af', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:43:07: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'e67599421894c992e8e168a1e54ccce2d6aa35f40182be6966fab5b6f96ceb0f', 'rssi': -95, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-01 13:43:08: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-01 13:43:09: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '4f76d69d9f8366ccf82c09e36b1473250ca602906d08cfed296683bd3ef2d3c4', 'rssi': -74, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
