Testing SD card write operations: 2022-06-04 21:40:46
2022-06-04 21:42:47: {'Acceleration': '(-0.4997559, 0.1865234, 1.118286)', 'Roll': '24.0796', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-8.658455'}
2022-06-04 21:42:48: {'Acceleration': '(0.05639648, 0.09350586, 1.030884)', 'Roll': '-3.131355', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-5.175109'}
2022-06-04 21:42:49: {'Acceleration': '(-0.4202881, 0.1693115, 1.105225)', 'Roll': '11.73038', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-9.425015'}
2022-06-04 21:42:50: {'Acceleration': '(0.1164551, 0.2999268, 0.6363525)', 'Roll': '-10.3706', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '-16.10184'}
2022-06-04 21:42:51: {'Acceleration': '(-0.5718994, -0.4882813, 0.8769531)', 'Roll': '33.11012', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '21.82846'}
2022-06-04 21:42:52: {'Acceleration': '(-0.472168, -0.3348389, 1.34082)', 'Roll': '19.39964', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.25433'}
2022-06-04 21:42:53: {'Acceleration': '(-0.046875, -0.09643555, 0.8018799)', 'Roll': '-4.071999', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.907646'}
2022-06-04 21:42:54: {'Acceleration': '(0.06640625, -0.3065186, 1.198608)', 'Roll': '-1.691458', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.45168'}
2022-06-04 21:42:55: {'Acceleration': '(-0.1428223, -0.1868896, 0.5037842)', 'Roll': '15.82798', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '18.79127'}
2022-06-04 21:42:56: {'Acceleration': '(-0.1867676, -0.206665, 0.8851318)', 'Roll': '11.91494', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.86864'}
2022-06-04 21:42:57: {'Acceleration': '(-0.1444092, 0.05407715, 0.6275635)', 'Roll': '12.9588', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-4.800173'}
2022-06-04 21:42:58: {'Acceleration': '(-0.4752197, 0.2823486, 1.224609)', 'Roll': '16.6986', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-17.55932'}
2022-06-04 21:42:59: {'Acceleration': '(0.05493164, -0.02954102, 0.6622314)', 'Roll': '-1.261571', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.71396'}
2022-06-04 21:43:00: {'Acceleration': '(-0.5079346, -0.1977539, 1.029541)', 'Roll': '26.2599', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.773645'}
2022-06-04 21:43:01: {'Acceleration': '(-0.3552246, -0.4708252, 1.33313)', 'Roll': '20.04531', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '16.89467'}
2022-06-04 21:43:02: {'Acceleration': '(-0.03039551, -0.05249023, 0.5366211)', 'Roll': '3.241906', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '2.641234'}
