Testing SD card write operations: 2022-06-09 16:54:51
2022-06-09 16:56:18: {'Acceleration': '(0.2349854, -0.1014404, 0.972168)', 'Roll': '-13.58848', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.791349'}
2022-06-09 16:56:19: {'Acceleration': '(0.2315674, -0.09912109, 0.9729004)', 'Roll': '-13.38828', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.658553'}
2022-06-09 16:56:19: {'Acceleration': '(0.2314453, -0.1032715, 0.9758301)', 'Roll': '-13.34275', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '5.879871'}
2022-06-09 16:56:20: {'Acceleration': '(0.2355957, -0.1014404, 0.9777832)', 'Roll': '-13.14369', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.643625'}
2022-06-09 16:56:21: {'Acceleration': '(0.2304688, -0.102417, 0.9782715)', 'Roll': '-13.25646', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.818477'}
2022-06-09 16:56:22: {'Acceleration': '(0.230835, -0.1009521, 0.9737549)', 'Roll': '-13.33616', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.76036'}
2022-06-09 16:56:23: {'Acceleration': '(0.2325439, -0.1018066, 0.9790039)', 'Roll': '-13.36191', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.848952'}
2022-06-09 16:56:24: {'Acceleration': '(0.230957, -0.0994873, 0.9790039)', 'Roll': '-13.19273', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.650395'}
2022-06-09 16:56:24: {'Acceleration': '(0.2298584, -0.1027832, 0.9818115)', 'Roll': '-13.26125', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.834306'}
2022-06-09 16:56:25: {'Acceleration': '(0.2322998, -0.1031494, 0.9799805)', 'Roll': '-13.33556', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.847755'}
2022-06-09 16:56:26: {'Acceleration': '(0.2297363, -0.1049805, 0.9755859)', 'Roll': '-13.4206', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.97534'}
2022-06-09 16:56:27: {'Acceleration': '(0.2335205, -0.1010742, 0.9765625)', 'Roll': '-13.44832', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.787563'}
2022-06-09 16:56:28: {'Acceleration': '(0.2330322, -0.1014404, 0.9747314)', 'Roll': '-13.34275', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.734228'}
2022-06-09 16:56:29: {'Acceleration': '(0.2269287, -0.1005859, 0.9760742)', 'Roll': '-13.08826', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.844725'}
2022-06-09 16:56:29: {'Acceleration': '(0.2302246, -0.1008301, 0.9737549)', 'Roll': '-13.30216', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '5.754245'}
2022-06-09 16:56:30: {'Acceleration': '(0.2320557, -0.1033936, 0.972168)', 'Roll': '-13.42524', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.835331'}
2022-06-09 16:56:31: {'Acceleration': '(0.2333984, -0.1015625, 0.9764404)', 'Roll': '-13.44316', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.776569'}
2022-06-09 16:56:32: {'Acceleration': '(0.2282715, -0.1018066, 0.9759521)', 'Roll': '-13.37506', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.746558'}
2022-06-09 16:56:33: {'Acceleration': '(0.2336426, -0.1019287, 0.9729004)', 'Roll': '-13.50389', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.816739'}
2022-06-09 16:56:34: {'Acceleration': '(0.2384033, -0.1022949, 0.9772949)', 'Roll': '-13.7091', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.806422'}
2022-06-09 16:56:35: {'Acceleration': '(0.234375, -0.1027832, 0.975708)', 'Roll': '-13.50712', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.850487'}
2022-06-09 16:56:36: {'Acceleration': '(0.2293701, -0.1004639, 0.9744873)', 'Roll': '-13.24492', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.730545'}
2022-06-09 16:56:36: {'Acceleration': '(0.2319336, -0.1004639, 0.9736328)', 'Roll': '-13.81292', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.721967'}
2022-06-09 16:56:37: {'Acceleration': '(0.2335205, -0.1026611, 0.9748535)', 'Roll': '-13.47104', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.811426'}
2022-06-09 16:56:38: {'Acceleration': '(0.2370605, -0.1031494, 0.9689941)', 'Roll': '-13.72673', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.848444'}
2022-06-09 16:56:39: {'Acceleration': '(0.2363281, -0.1021729, 0.9737549)', 'Roll': '-13.75064', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.700683'}
2022-06-09 16:56:40: {'Acceleration': '(0.2330322, -0.102417, 0.9742432)', 'Roll': '-13.45201', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.837669'}
2022-06-09 16:56:41: {'Acceleration': '(0.2310791, -0.1011963, 0.9794922)', 'Roll': '-13.53523', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.986222'}
2022-06-09 16:56:42: {'Acceleration': '(0.2357178, -0.1019287, 0.9731445)', 'Roll': '-13.61609', 'battery_voltage': 4.536165, 'battery_percentage': 86.94976, 'Pitch': '5.708777'}
2022-06-09 16:56:42: {'Acceleration': '(0.2316895, -0.1020508, 0.9744873)', 'Roll': '-13.37406', 'battery_voltage': 4.541183, 'battery_percentage': 87.45158, 'Pitch': '5.817366'}
2022-06-09 16:56:43: {'Acceleration': '(0.2357178, -0.1037598, 0.9776611)', 'Roll': '-13.55551', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.890601'}
2022-06-09 16:56:44: {'Acceleration': '(0.2346191, -0.1035156, 0.9743652)', 'Roll': '-13.53862', 'battery_voltage': 4.546201, 'battery_percentage': 87.95336, 'Pitch': '5.786247'}
