Testing SD card write operations: 2022-09-16 16:39:07
2022-09-16 16:44:26: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:28: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:30: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:32: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:44:34: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-45}
2022-09-16 16:44:36: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-16 16:44:38: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-16 16:44:41: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-35}
2022-09-16 16:44:43: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-35}
2022-09-16 16:44:45: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-16 16:44:47: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:44:49: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-37}
2022-09-16 16:44:51: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-36}
2022-09-16 16:44:53: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-35}
2022-09-16 16:44:54: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-35}
2022-09-16 16:44:56: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:44:58: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:45:00: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:45:02: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-43}
2022-09-16 16:45:04: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-42}
2022-09-16 16:45:06: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-38}
2022-09-16 16:45:07: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:45:09: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-41}
2022-09-16 16:45:11: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
2022-09-16 16:45:13: {'ssid':'M50', 'bssid':'457a2c17803ba314e74f109528883446cf606742da886593200b4895', 'sec':3, 'channel':6, 'rssi':-39}
