Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:27:35: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-40}
2022-07-08 21:27:36: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:27:38: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-30}
2022-07-08 21:27:38: {'ssid':'M30', 'bssid':'aef94aab8b522b183aa3aaac8f128d2dfde5201a104494a93d1a0cfa5c512259', 'sec':3, 'channel':6, 'rssi':-92}
2022-07-08 21:27:40: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-08 21:27:42: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-48}
2022-07-08 21:27:44: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-31}
2022-07-08 21:27:46: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
2022-07-08 21:27:48: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-32}
2022-07-08 21:27:50: {'ssid':'M30', 'bssid':'00b09eea23b491a04f5fa2a099b8ef03b3258f235715e088ce8ef9180524a4d2', 'sec':3, 'channel':6, 'rssi':-33}
