Testing SD card write operations: 2022-07-08 21:23:16
2022-07-08 21:24:17: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -69, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:18: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '48d13b9a88843164003fcf0114339967b1b26d0804fe0b0c48dd7f03fb3242b1', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '08eb2e1daf7f33fd118da56bb98b3c67fdff12bf794f369493fd74b081e5f4c4', 'rssi': -71, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:19: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '30afa34b62b0864a285d4aa70e68d18cc548237dfa7def5de2fb03c7978138b2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:20: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '9f03751193a4d6a54601c2ee093f2f41deea45c4d3c7de821820012b4bf14902', 'rssi': -73, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-08 21:24:21: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'f429c01d4a040a051192040f79a121077999dffe1da085d8e58209fd8cada0a3', 'rssi': -83, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:22: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2da4e640a28b03ed82fd9d16156ce0e1a210dbaf32f6266bb2f762f4b8d32120', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '89000ec788563e347e9787edbba9ef281fe72e923686e52b5b1a426fffc3e52a', 'rssi': -54, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:23: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'a1d4aacee375b0355d9440f3f9542c210bea6b163f373da28d859e9777116132', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:24: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '30afa34b62b0864a285d4aa70e68d18cc548237dfa7def5de2fb03c7978138b2', 'rssi': -70, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:25: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'bc049062a2f54ada16f6d743246d8bc6f71b2bdd2268f09698c43edb42eb8b0a', 'rssi': -88, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-08 21:24:26: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd1c9a7296e73e96b6ef1007ec8dda2b449eba5d322a262b8023f6c84840c4de1', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 1, 'adv_tx_pwr': 3}
2022-07-08 21:24:27: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '8a408e5fe1056c06a1372bd5f9e6aaf87808dd6df3d99d86b7ba702ea98d0951', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
2022-07-08 21:24:28: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '548345ce3c1cbec23b9187fc823bbcfec0fceba17813aa9c2308f2abdf4924b7', 'rssi': -82, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
