Testing SD card write operations: 2022-07-06 14:08:49
2022-07-06 14:09:47: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '164fd30c1225b1f9651ab7a1afda1ebe06f186fbc0666c26548e86de3332e84e', 'rssi': -84, 'name': 'Tb110', 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:47: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '0ddfee7ad81ece6a938e0c5449f1eebdfad647a4739fdea870c5f011101d219d', 'rssi': -81, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:48: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'e623fd328855ee9491a72abeec3809ec64d4d67251c6937e351f8996bf31b4a2', 'rssi': -78, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 7, 'adv_tx_pwr': 3}
2022-07-06 14:09:49: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'b2d8055792ee53c75021159015e35cd7c0310a8ed443e0bf6770c82106c30eaf', 'rssi': -87, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:50: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '5de7f3950de0707903286c7536095a9b8a2476427cf42973c43ed125493f91e4', 'rssi': -75, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:51: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '12f90f3e4b3eca257c2e777c1261212733ed8ea103f13c9ab164f7d18008dc2c', 'rssi': -65, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:51: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -80, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:52: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '66d9b6f57450e368a0926e263a0b93f30ad9bb18578cadc25139c2774226cdb3', 'rssi': -85, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 12, 'adv_tx_pwr': 3}
2022-07-06 14:09:53: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': 'd000df3f3354fc3d7c50ab6fe7890cedd2bf13b6f70cdd2ab3ef67897bc518c3', 'rssi': -79, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:54: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': 'd9444437c3925e9840cb360d30c3cc80596c4a953e0b858cc950a02e4bc8b69a', 'rssi': -93, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:55: {'adv_flag': None, 'def_tx_pwr': 3, 'mac': '190e13117415d587d87d31bc208cae03e269215a745e4227a359d9135705388c', 'rssi': -63, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': None, 'adv_tx_pwr': 3}
2022-07-06 14:09:55: {'adv_flag': 26, 'def_tx_pwr': 3, 'mac': '2713372543c10c594e7259ffd336bf478d1905901fe0ab98497ac7857283454a', 'rssi': -91, 'name': None, 'scan_tx_pwr': 3, 'conn_tx_pwr': 64, 'tx_range': 8, 'adv_tx_pwr': 3}
