Testing SD card write operations: 2022-06-25 14:16:17
2022-06-25 14:19:37: {'Acceleration': '(0.02124023, -0.121582, 1.002563)', 'Roll': '-1.213683', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.913024'}
2022-06-25 14:19:38: {'Acceleration': '(0.0246582, -0.1242676, 1.004517)', 'Roll': '-1.406176', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.068929'}
2022-06-25 14:19:39: {'Acceleration': '(0.0246582, -0.1212158, 1.003418)', 'Roll': '-1.407715', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.886061'}
2022-06-25 14:19:40: {'Acceleration': '(0.02075195, -0.1213379, 1.005371)', 'Roll': '-1.328501', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '7.016953'}
2022-06-25 14:19:41: {'Acceleration': '(0.02160645, -0.1231689, 1.004272)', 'Roll': '-1.232501', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.990518'}
2022-06-25 14:19:41: {'Acceleration': '(0.02087402, -0.1207275, 1.008667)', 'Roll': '-1.377338', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.962837'}
2022-06-25 14:19:42: {'Acceleration': '(0.0213623, -0.1209717, 1.007202)', 'Roll': '-1.215036', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.847272'}
2022-06-25 14:19:43: {'Acceleration': '(0.0222168, -0.1260986, 0.9998779)', 'Roll': '-1.165295', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.046257'}
2022-06-25 14:19:44: {'Acceleration': '(0.02490234, -0.1242676, 1.003418)', 'Roll': '-1.415965', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.96168'}
2022-06-25 14:19:45: {'Acceleration': '(0.02746582, -0.123291, 1.00708)', 'Roll': '-1.478812', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.160435'}
2022-06-25 14:19:46: {'Acceleration': '(0.02416992, -0.1259766, 1.005859)', 'Roll': '-1.376503', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.818197'}
2022-06-25 14:19:47: {'Acceleration': '(0.02368164, -0.1220703, 1.006104)', 'Roll': '-1.348378', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.915974'}
2022-06-25 14:19:47: {'Acceleration': '(0.0246582, -0.1251221, 1.005859)', 'Roll': '-1.4043', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.050836'}
2022-06-25 14:19:48: {'Acceleration': '(0.0222168, -0.1199951, 1.001221)', 'Roll': '-1.271168', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.832568'}
2022-06-25 14:19:49: {'Acceleration': '(0.01940918, -0.1235352, 1.003418)', 'Roll': '-1.453296', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.980651'}
2022-06-25 14:19:50: {'Acceleration': '(0.02624512, -0.1242676, 1.003906)', 'Roll': '-1.497542', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.054023'}
2022-06-25 14:19:51: {'Acceleration': '(0.02270508, -0.1230469, 1.004639)', 'Roll': '-1.344528', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.117073'}
2022-06-25 14:19:52: {'Acceleration': '(0.02319336, -0.1240234, 1.002075)', 'Roll': '-1.325893', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.958292'}
2022-06-25 14:19:53: {'Acceleration': '(0.02404785, -0.1235352, 1.004517)', 'Roll': '-1.403138', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.89083'}
2022-06-25 14:19:53: {'Acceleration': '(0.02233887, -0.1213379, 1.003418)', 'Roll': '-1.275352', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.911201'}
2022-06-25 14:19:54: {'Acceleration': '(0.02270508, -0.1234131, 1.008301)', 'Roll': '-1.289977', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.976377'}
2022-06-25 14:19:55: {'Acceleration': '(0.02575684, -0.1239014, 1.001587)', 'Roll': '-1.473095', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '7.049644'}
2022-06-25 14:19:56: {'Acceleration': '(0.02392578, -0.1219482, 1.003418)', 'Roll': '-1.365918', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.927387'}
2022-06-25 14:19:57: {'Acceleration': '(0.02270508, -0.123291, 0.9978027)', 'Roll': '-1.324562', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '7.138656'}
2022-06-25 14:19:58: {'Acceleration': '(0.02368164, -0.1213379, 1.005981)', 'Roll': '-1.348541', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.875701'}
2022-06-25 14:19:59: {'Acceleration': '(0.02490234, -0.1230469, 1.005859)', 'Roll': '-1.258358', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.972681'}
2022-06-25 14:19:59: {'Acceleration': '(0.02416992, -0.1258545, 0.9979248)', 'Roll': '-1.339765', 'battery_voltage': 4.506058, 'battery_percentage': 83.93905, 'Pitch': '6.851812'}
2022-06-25 14:20:00: {'Acceleration': '(0.01867676, -0.1239014, 1.007202)', 'Roll': '-1.062326', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '7.011835'}
2022-06-25 14:20:01: {'Acceleration': '(0.0246582, -0.1253662, 1.008545)', 'Roll': '-1.535468', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.961941'}
2022-06-25 14:20:02: {'Acceleration': '(0.0234375, -0.1228027, 1.010376)', 'Roll': '-1.052069', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.928675'}
2022-06-25 14:20:03: {'Acceleration': '(0.02148438, -0.1243896, 0.9998779)', 'Roll': '-1.286086', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.894222'}
2022-06-25 14:20:04: {'Acceleration': '(0.02258301, -0.1235352, 1.004883)', 'Roll': '-1.2896', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.963436'}
2022-06-25 14:20:05: {'Acceleration': '(0.02783203, -0.1240234, 1.005737)', 'Roll': '-1.488502', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '6.987576'}
2022-06-25 14:20:05: {'Acceleration': '(0.0234375, -0.1229248, 1.004517)', 'Roll': '-1.343116', 'battery_voltage': 4.511075, 'battery_percentage': 84.44078, 'Pitch': '7.03549'}
2022-06-25 14:20:06: {'Acceleration': '(0.02416992, -0.1236572, 1.003174)', 'Roll': '-1.380186', 'battery_voltage': 4.50104, 'battery_percentage': 83.43722, 'Pitch': '6.80409'}
