Testing SD card write operations: 2022-07-07 09:22:00
2022-07-07 09:25:47: {'ssid':'P15', 'bssid':'472798d9986c3249654cb36842bb0f2e1699efed8db592a575e7916b99ab18ef', 'sec':5, 'channel':1, 'rssi':-90}
2022-07-07 09:25:47: {'ssid':'P19', 'bssid':'962d7c851099283e28275ab8a84019b9e1bffea1837495743d0dd6690f7d9e55', 'sec':0, 'channel':1, 'rssi':-91}
2022-07-07 09:25:51: {'ssid':'P19', 'bssid':'962d7c851099283e28275ab8a84019b9e1bffea1837495743d0dd6690f7d9e55', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-07 09:25:51: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-89}
2022-07-07 09:25:51: {'ssid':'P14', 'bssid':'a3855541055e8da220a5903490649d6f6e6bc7523bd60fc11df7dc0b25015e17', 'sec':0, 'channel':11, 'rssi':-89}
2022-07-07 09:25:51: {'ssid':'P15', 'bssid':'720a36446900810b031defd29bc6bd30c671529af5d22835f24d2d4c2beef990', 'sec':5, 'channel':11, 'rssi':-89}
2022-07-07 09:25:51: {'ssid':'P110', 'bssid':'e2642d20b5c569fe803fb12f6f09d0e70e855af2fd9b3e26a8bf78d55b76f1cd', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:51: {'ssid':'P15', 'bssid':'472798d9986c3249654cb36842bb0f2e1699efed8db592a575e7916b99ab18ef', 'sec':5, 'channel':1, 'rssi':-90}
2022-07-07 09:25:55: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-07 09:25:55: {'ssid':'P19', 'bssid':'962d7c851099283e28275ab8a84019b9e1bffea1837495743d0dd6690f7d9e55', 'sec':0, 'channel':1, 'rssi':-89}
2022-07-07 09:25:55: {'ssid':'P110', 'bssid':'e2642d20b5c569fe803fb12f6f09d0e70e855af2fd9b3e26a8bf78d55b76f1cd', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:25:58: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-07 09:26:00: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-07 09:26:02: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-82}
2022-07-07 09:26:04: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-78}
2022-07-07 09:26:06: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-77}
2022-07-07 09:26:08: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-62}
2022-07-07 09:26:10: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-68}
2022-07-07 09:26:11: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-80}
2022-07-07 09:26:13: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-81}
2022-07-07 09:26:13: {'ssid':'P112', 'bssid':'bdfa1ef5bad6c5b9b0d97cbcfca3e685fb02627180b0644b440564b9183910fd', 'sec':3, 'channel':1, 'rssi':-91}
2022-07-07 09:26:15: {'ssid':'P111', 'bssid':'952d6e02773dbf8fbce49fc1751e5275ecca47af212230ff890167a2642f55fb', 'sec':3, 'channel':1, 'rssi':-90}
2022-07-07 09:26:39: {'ssid':'P15', 'bssid':'cee437277b5de9974cbfbe774d779c21591879cff893903da754d6fdc7a34ada', 'sec':5, 'channel':6, 'rssi':-91}
