Testing SD card write operations: 2022-07-07 09:13:21
2022-07-07 09:17:03: {'ssid':'B643', 'bssid':'e41089eba5ff7f0099f822989351e7dd1dc37c5e02577315877386af', 'sec':3, 'channel':11, 'rssi':-95}
2022-07-07 09:17:05: {'ssid':'B644', 'bssid':'4e3cbb9aade65e7045e251048cb18916ecf7952b2e762143fe272a3c', 'sec':0, 'channel':11, 'rssi':-95}
2022-07-07 09:17:11: {'ssid':'B645', 'bssid':'4425ff218a3ff9ef94ceb93f5e379c743fdc92d67a3a50b6c528447a', 'sec':3, 'channel':6, 'rssi':-86}
2022-07-07 09:17:12: {'ssid':'B646', 'bssid':'8912eb2bb82b3035de05f55af8d0f1edcb17c83e78e3edf943fc46cc', 'sec':4, 'channel':1, 'rssi':-82}
2022-07-07 09:17:16: {'ssid':'B66', 'bssid':'7b5df160e86a4ef87fb62e673b7cbeaea2f943a67f3860b964a29773', 'sec':5, 'channel':8, 'rssi':-92}
2022-07-07 09:17:18: {'ssid':'B647', 'bssid':'d7359e1ebbe5607696d295bab2938f0ea029d54381b52056c1b75f9a', 'sec':4, 'channel':1, 'rssi':-84}
2022-07-07 09:17:20: {'ssid':'B610', 'bssid':'23ba043a1ed648d80447e57615ba05bbd5b2985fb12ad6c79f301fb6', 'sec':5, 'channel':1, 'rssi':-90}
2022-07-07 09:17:20: {'ssid':'B648', 'bssid':'10ac47aa0d89378b66d1bbe874bcd1fdeef1be885f20d7a2170ddfe5', 'sec':4, 'channel':1, 'rssi':-90}
2022-07-07 09:17:20: {'ssid':'B618', 'bssid':'4d69bddbef1e8c243dd4ea425fbecba4a226a28c42e9b02c895acc14', 'sec':0, 'channel':1, 'rssi':-90}
2022-07-07 09:17:22: {'ssid':'B649', 'bssid':'001786fd9ec3bd43474694134249058faf6aaa02746a2e43759f2dc2', 'sec':3, 'channel':6, 'rssi':-85}
2022-07-07 09:17:22: {'ssid':'B618', 'bssid':'4d69bddbef1e8c243dd4ea425fbecba4a226a28c42e9b02c895acc14', 'sec':0, 'channel':1, 'rssi':-93}
2022-07-07 09:17:25: {'ssid':'B650', 'bssid':'269af38e0ab9ee566b8f473f4db3095e2b38f8f9fa0449cdf9a5baa3', 'sec':3, 'channel':6, 'rssi':-90}
