Testing SD card write operations: 2022-06-25 14:23:00
2022-06-25 14:27:08: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-18}
2022-06-25 14:27:10: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-28}
2022-06-25 14:27:10: {'ssid':'SFR WiFi Mobile', 'bssid':b'ra\xf4\x00\xde\xe5', 'sec':5, 'channel':11, 'rssi':-83}
2022-06-25 14:27:10: {'ssid':'SFR WiFi FON', 'bssid':b'ra\xf4\x00\xde\xe7', 'sec':0, 'channel':11, 'rssi':-83}
2022-06-25 14:27:10: {'ssid':'SFR_DEE0', 'bssid':b'la\xf4\x00\xde\xe6', 'sec':4, 'channel':11, 'rssi':-84}
2022-06-25 14:27:11: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:27:13: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-26}
2022-06-25 14:27:15: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-20}
2022-06-25 14:27:15: {'ssid':'FreeWifi_secure', 'bssid':b'\xf4\xca\xe5\xf6\xe3z', 'sec':5, 'channel':7, 'rssi':-80}
2022-06-25 14:27:17: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-21}
2022-06-25 14:27:17: {'ssid':'Livebox-MAISON', 'bssid':b'<\x98r\xe3\xfa\x1c', 'sec':3, 'channel':11, 'rssi':-81}
2022-06-25 14:27:17: {'ssid':'SFR_2B0F', 'bssid':b'X\xfc P+\x10', 'sec':4, 'channel':1, 'rssi':-86}
2022-06-25 14:27:17: {'ssid':'Livebox-3F06', 'bssid':b'x\x81\x022?\x06', 'sec':3, 'channel':1, 'rssi':-88}
2022-06-25 14:27:19: {'ssid':'iPhone', 'bssid':b'\xda,\xf2\x03\x18C', 'sec':3, 'channel':6, 'rssi':-19}
2022-06-25 14:27:19: {'ssid':'SFR_2B0F', 'bssid':b'X\xfc P+\x10', 'sec':4, 'channel':1, 'rssi':-77}
2022-06-25 14:27:19: {'ssid':'Livebox-3F06', 'bssid':b'x\x81\x022?\x06', 'sec':3, 'channel':1, 'rssi':-81}
2022-06-25 14:27:19: {'ssid':'SFR WiFi FON', 'bssid':b'j-\x1b\x80\x92/', 'sec':0, 'channel':1, 'rssi':-85}
