Testing SD card write operations: 2022-09-11 17:00:49
2022-09-11 17:02:23: {'Acceleration': '(0.004150391, -0.1889648, 0.9541016)', 'Roll': '-0.249238', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '11.20265'}
2022-09-11 17:02:24: {'Acceleration': '(-0.003295898, -0.1723633, 0.9942627)', 'Roll': '0.1899301', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '12.28411'}
2022-09-11 17:02:25: {'Acceleration': '(-0.08691406, -0.06274414, 1.084839)', 'Roll': '4.580583', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.299596'}
2022-09-11 17:02:26: {'Acceleration': '(-0.06384277, -0.09521484, 1.080811)', 'Roll': '7.887011', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '4.549253'}
2022-09-11 17:02:26: {'Acceleration': '(-0.1311035, -0.1170654, 1.039429)', 'Roll': '7.188776', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '3.739333'}
2022-09-11 17:02:27: {'Acceleration': '(-0.1005859, -0.07751465, 1.049194)', 'Roll': '5.476192', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '4.206129'}
2022-09-11 17:02:28: {'Acceleration': '(-0.118042, -0.015625, 0.8908691)', 'Roll': '8.848769', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '3.500436'}
2022-09-11 17:02:29: {'Acceleration': '(-0.1486816, -0.03674316, 1.03064)', 'Roll': '8.655737', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.8600681'}
2022-09-11 17:02:30: {'Acceleration': '(-0.2230225, -0.005371094, 0.956543)', 'Roll': '13.12431', 'battery_voltage': 4.551219, 'battery_percentage': 88.45518, 'Pitch': '0.3133154'}
2022-09-11 17:02:31: {'Acceleration': '(-0.1975098, -0.03552246, 0.982666)', 'Roll': '13.19682', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '-0.8969481'}
2022-09-11 17:02:32: {'Acceleration': '(-0.1716309, -0.00793457, 0.9575195)', 'Roll': '9.172593', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '0.5703655'}
2022-09-11 17:02:33: {'Acceleration': '(-0.5111084, -0.1213379, 1.052856)', 'Roll': '25.89422', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '5.919042'}
2022-09-11 17:02:33: {'Acceleration': '(-0.08215332, -0.2092285, 1.019165)', 'Roll': '5.379461', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.89369'}
2022-09-11 17:02:34: {'Acceleration': '(-0.1479492, -0.2407227, 0.9945068)', 'Roll': '7.516281', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.82356'}
2022-09-11 17:02:35: {'Acceleration': '(-0.06323242, -0.1881104, 1.005371)', 'Roll': '3.598855', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.57739'}
2022-09-11 17:02:36: {'Acceleration': '(-0.0826416, -0.2612305, 1.044312)', 'Roll': '2.673142', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '13.66458'}
2022-09-11 17:02:37: {'Acceleration': '(0.1118164, -0.08398438, 1.014893)', 'Roll': '0.1422342', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '6.288583'}
2022-09-11 17:02:38: {'Acceleration': '(-0.05541992, -0.168457, 0.9957275)', 'Roll': '3.185665', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.10691'}
2022-09-11 17:02:39: {'Acceleration': '(-0.03173828, -0.1873779, 0.6118164)', 'Roll': '2.969585', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '17.00644'}
2022-09-11 17:02:40: {'Acceleration': '(-0.07128906, -0.2017822, 1.03064)', 'Roll': '3.956831', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '11.05169'}
2022-09-11 17:02:40: {'Acceleration': '(-0.04858398, -0.1627197, 0.9571533)', 'Roll': '2.905773', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '6.340888'}
2022-09-11 17:02:41: {'Acceleration': '(-0.005737305, -0.1960449, 1.058716)', 'Roll': '0.3104895', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.49062'}
2022-09-11 17:02:42: {'Acceleration': '(-0.05773926, -0.2110596, 1.109863)', 'Roll': '2.978057', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.75301'}
2022-09-11 17:02:43: {'Acceleration': '(-0.02319336, -0.1778564, 0.9749756)', 'Roll': '1.380179', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.152204'}
2022-09-11 17:02:44: {'Acceleration': '(0.003540039, -0.1304932, 0.8707275)', 'Roll': '-0.232941', 'battery_voltage': 4.561255, 'battery_percentage': 89.45872, 'Pitch': '8.523233'}
2022-09-11 17:02:45: {'Acceleration': '(-0.02331543, -0.164917, 0.8986816)', 'Roll': '1.48615', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '10.39523'}
2022-09-11 17:02:46: {'Acceleration': '(-0.01098633, -0.1672363, 0.9289551)', 'Roll': '1.118179', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '8.099094'}
2022-09-11 17:02:46: {'Acceleration': '(0.04174805, -0.1273193, 0.9919434)', 'Roll': '-2.399669', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.20421'}
2022-09-11 17:02:47: {'Acceleration': '(-0.003173828, -0.1842041, 1.060181)', 'Roll': '0.171524', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '9.856575'}
2022-09-11 17:02:48: {'Acceleration': '(0.08605957, -0.2116699, 0.9858398)', 'Roll': '-4.61696', 'battery_voltage': 4.556237, 'battery_percentage': 88.95696, 'Pitch': '13.46483'}
