Testing SD card write operations: 2022-05-25 18:26:53
2022-05-25 18:31:15: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:31:17: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:31:19: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-63}
2022-05-25 18:31:24: {'ssid':'AndroidAP7D11', 'bssid':b'\xceY\x07\x1dg\xbb', 'sec':3, 'channel':6, 'rssi':-92}
2022-05-25 18:31:28: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:31:30: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:31:31: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:31:33: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-66}
2022-05-25 18:31:35: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-65}
2022-05-25 18:31:39: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:31:41: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
2022-05-25 18:31:43: {'ssid':'_SNCF_WIFI_INOUI', 'bssid':b'\x04\xf0!dFU', 'sec':0, 'channel':11, 'rssi':-64}
