Testing SD card write operations: 2022-07-07 19:08:09
2022-07-07 19:08:56: {'ssid':'NUMERICABLE-DED6', 'bssid':b'\x10\r\x7fs\xde\xda', 'sec':4, 'channel':1, 'rssi':-78}
2022-07-07 19:08:56: {'ssid':'NUMERICABLE-F147', 'bssid':b' \x0c\xc8 \xf1K', 'sec':4, 'channel':1, 'rssi':-90}
2022-07-07 19:08:58: {'ssid':'NUMERICABLE-28D0', 'bssid':b'\x04\xa1Q\xd9{\xd4', 'sec':4, 'channel':1, 'rssi':-48}
2022-07-07 19:08:58: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-57}
2022-07-07 19:08:58: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-67}
2022-07-07 19:08:58: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-73}
2022-07-07 19:08:58: {'ssid':'NUMERICABLE-8005', 'bssid':b'\x04\xa1Q\xd9\x80\t', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:58: {'ssid':'NUMERICABLE-7A58', 'bssid':b'\xa4+\x8c\x9ez\\', 'sec':4, 'channel':1, 'rssi':-74}
2022-07-07 19:08:58: {'ssid':'NUMERICABLE-3AC3', 'bssid':b'\x9c\xd3m\xb1:\xc7', 'sec':4, 'channel':1, 'rssi':-80}
2022-07-07 19:08:58: {'ssid':'Numericable-9ba5', 'bssid':b'\xa0\x1b}|\x9b\xab', 'sec':4, 'channel':6, 'rssi':-94}
2022-07-07 19:08:58: {'ssid':'Bbox-37FD49E1', 'bssid':b'\xd0n\xde\xc1\xc90', 'sec':4, 'channel':6, 'rssi':-95}
2022-07-07 19:09:00: {'ssid':'iPhone', 'bssid':b'\x8aGir4\xb3', 'sec':3, 'channel':6, 'rssi':-58}
2022-07-07 19:09:00: {'ssid':'Numericable-e05c', 'bssid':b'\x007\xb7R\xe0b', 'sec':4, 'channel':6, 'rssi':-65}
2022-07-07 19:09:00: {'ssid':'NUMERICABLE-F7F4', 'bssid':b'\x10\r\x7fs\xf7\xf8', 'sec':4, 'channel':4, 'rssi':-71}
